datetime,hour,month,weekday,latitude,longitude,crime_category,raw_offense,city
2007-11-18 23:24:00,23,11,6,-1.0,-1.0,other,ALL OTHER,Seattle
2007-11-22 17:36:00,17,11,3,47.675695,-122.353403,other,ALL OTHER,Seattle
2007-11-23 13:30:00,13,11,4,-1.0,-1.0,other,ALL OTHER,Seattle
2007-11-23 13:30:00,13,11,4,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-11-24 09:23:00,9,11,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-11-28 17:15:00,17,11,2,47.6612513,-122.300905299999,other,ALL OTHER,Seattle
2007-11-28 21:02:00,21,11,2,47.53161968,-122.287062682038,other,ALL OTHER,Seattle
2007-12-09 12:45:00,12,12,6,47.59678343,-122.333268208995,other,ALL OTHER,Seattle
2007-12-10 09:55:00,9,12,0,47.61853427,-122.338484567757,violent,VIOLENT CRIME,Seattle
2007-12-11 19:44:00,19,12,1,47.61468701,-122.308850578952,other,ALL OTHER,Seattle
2007-12-12 11:55:00,11,12,2,47.67491354,-122.376210773915,other,ALL OTHER,Seattle
2007-12-12 11:55:00,11,12,2,47.67491354,-122.376210773915,other,ALL OTHER,Seattle
2007-12-12 22:00:00,22,12,2,47.66126937,-122.313129662689,violent,VIOLENT CRIME,Seattle
2007-12-13 17:40:00,17,12,3,47.50658705,-122.270132873176,other,ALL OTHER,Seattle
2007-12-13 17:40:00,17,12,3,47.50658705,-122.270132873176,other,ALL OTHER,Seattle
2007-12-13 19:07:00,19,12,3,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-12-14 00:00:00,0,12,4,-1.0,-1.0,other,ALL OTHER,Seattle
2007-12-14 09:55:00,9,12,4,47.61097884,-122.316779121994,property,PROPERTY CRIME,Seattle
2007-12-15 13:12:00,13,12,5,47.71325168,-122.355512139795,property,PROPERTY CRIME,Seattle
2007-12-15 20:50:00,20,12,5,47.61170568,-122.338047718008,property,PROPERTY CRIME,Seattle
2007-12-15 20:50:00,20,12,5,47.61170568,-122.338047718008,other,ALL OTHER,Seattle
2007-12-16 16:23:00,16,12,6,47.576948,-122.297091,violent,VIOLENT CRIME,Seattle
2007-12-16 18:00:00,18,12,6,47.61405745,-122.322757499999,property,PROPERTY CRIME,Seattle
2007-12-16 18:00:00,18,12,6,47.61405745,-122.322757499999,other,ALL OTHER,Seattle
2007-12-16 20:57:00,20,12,6,47.67582213,-122.316510635965,violent,VIOLENT CRIME,Seattle
2007-12-17 08:39:00,8,12,0,47.61051065,-122.3392569938,other,ALL OTHER,Seattle
2007-12-17 08:39:00,8,12,0,47.61051065,-122.3392569938,property,PROPERTY CRIME,Seattle
2007-12-17 11:52:00,11,12,0,47.70858578,-122.321918379187,property,PROPERTY CRIME,Seattle
2007-12-17 17:00:00,17,12,0,47.52103664,-122.369349379919,property,PROPERTY CRIME,Seattle
2007-12-18 00:00:00,0,12,1,-1.0,-1.0,violent,VIOLENT CRIME,Seattle
2007-12-19 10:45:00,10,12,2,47.52281564,-122.269987874277,violent,VIOLENT CRIME,Seattle
2007-12-19 10:45:00,10,12,2,47.52281564,-122.269987874277,violent,VIOLENT CRIME,Seattle
2007-12-19 15:30:00,15,12,2,47.546142,-122.291566,violent,VIOLENT CRIME,Seattle
2007-12-19 16:30:00,16,12,2,47.61751932,-122.347572034894,property,PROPERTY CRIME,Seattle
2007-12-19 21:10:00,21,12,2,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-12-20 16:37:00,16,12,3,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-12-20 18:51:00,18,12,3,47.66134674,-122.325643345933,violent,VIOLENT CRIME,Seattle
2007-12-21 08:45:00,8,12,4,47.57929089,-122.31221115614,other,ALL OTHER,Seattle
2007-12-21 08:45:00,8,12,4,47.57929089,-122.31221115614,property,PROPERTY CRIME,Seattle
2007-12-22 18:51:00,18,12,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-12-23 21:12:00,21,12,6,47.60634078,-122.320749983404,other,ALL OTHER,Seattle
2007-12-23 21:20:00,21,12,6,47.61170568,-122.338047718008,property,PROPERTY CRIME,Seattle
2007-12-27 16:26:00,16,12,3,47.61170568,-122.338047718008,property,PROPERTY CRIME,Seattle
2007-12-28 00:00:00,0,12,4,47.61095,-122.321285,other,ALL OTHER,Seattle
2007-12-28 00:00:00,0,12,4,47.61095,-122.321285,other,ALL OTHER,Seattle
2007-12-28 00:19:00,0,12,4,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-12-31 09:32:00,9,12,0,47.61919015,-122.356751513145,property,PROPERTY CRIME,Seattle
2007-12-31 21:30:00,21,12,0,47.61691834,-122.352506536525,other,ALL OTHER,Seattle
2008-01-01 00:02:00,0,1,1,47.61813225,-122.342655077287,other,ALL OTHER,Seattle
2008-01-01 00:02:00,0,1,1,47.61813225,-122.342655077287,other,ALL OTHER,Seattle
2008-01-01 00:04:00,0,1,1,47.53294919,-122.28061415032,other,ALL OTHER,Seattle
2008-01-01 00:08:00,0,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 00:08:00,0,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 00:10:00,0,1,1,47.61857115,-122.347621136349,other,ALL OTHER,Seattle
2008-01-01 00:10:00,0,1,1,47.61857115,-122.347621136349,other,ALL OTHER,Seattle
2008-01-01 00:10:00,0,1,1,47.61857115,-122.347621136349,other,ALL OTHER,Seattle
2008-01-01 00:10:00,0,1,1,47.61857115,-122.347621136349,other,ALL OTHER,Seattle
2008-01-01 00:10:00,0,1,1,47.61857115,-122.347621136349,other,ALL OTHER,Seattle
2008-01-01 00:19:00,0,1,1,47.69916656,-122.344624166298,other,ALL OTHER,Seattle
2008-01-01 00:19:00,0,1,1,47.6157531,-122.344584905466,other,ALL OTHER,Seattle
2008-01-01 00:27:00,0,1,1,47.66486034,-122.307191041094,violent,VIOLENT CRIME,Seattle
2008-01-01 00:28:00,0,1,1,47.62032368,-122.347606024845,other,ALL OTHER,Seattle
2008-01-01 00:28:00,0,1,1,47.62032368,-122.347606024845,other,ALL OTHER,Seattle
2008-01-01 00:43:00,0,1,1,47.612326,-122.3467223902,other,ALL OTHER,Seattle
2008-01-01 00:57:00,0,1,1,47.625858,-122.347576,violent,VIOLENT CRIME,Seattle
2008-01-01 00:58:00,0,1,1,47.60620026,-122.316125605942,property,PROPERTY CRIME,Seattle
2008-01-01 00:58:00,0,1,1,47.60620026,-122.316125605942,other,ALL OTHER,Seattle
2008-01-01 01:07:00,1,1,1,47.666424,-122.311347,other,ALL OTHER,Seattle
2008-01-01 01:13:00,1,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 01:16:00,1,1,1,47.58750589,-122.339281308557,other,ALL OTHER,Seattle
2008-01-01 01:22:00,1,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 01:24:00,1,1,1,47.61575309,-122.344584901502,violent,VIOLENT CRIME,Seattle
2008-01-01 01:25:00,1,1,1,47.574385,-122.333739,other,ALL OTHER,Seattle
2008-01-01 01:30:00,1,1,1,47.55626345,-122.286149152184,violent,VIOLENT CRIME,Seattle
2008-01-01 01:31:00,1,1,1,47.59877133,-122.325056926442,other,ALL OTHER,Seattle
2008-01-01 01:47:00,1,1,1,47.618572,-122.346331,other,ALL OTHER,Seattle
2008-01-01 01:50:00,1,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 01:53:00,1,1,1,47.533667,-122.271329,other,ALL OTHER,Seattle
2008-01-01 01:53:00,1,1,1,47.533667,-122.271329,violent,VIOLENT CRIME,Seattle
