lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_other,p_property,p_violent,risk
40.78,-111.94,0,4,13,other,other,0.9992551089261836,True,0.9992551089261836,0.0003724214539042921,0.0003724696199121177,58.6
40.78,-111.94,0,5,6,property,property,0.9992558763934707,True,0.0003716499409902431,0.9992558763934707,0.0003724736655392139,43.2
40.78,-111.94,0,6,9,other,other,0.9992549373856999,True,0.9992549373856999,0.0003725893052474228,0.0003724733090525849,51.2
40.78,-111.94,1,3,7,property,property,0.9992635168849731,True,0.00036872604565826785,0.9992635168849731,0.00036775706936849686,46.2
40.78,-111.94,1,4,14,other,other,0.9992550514107837,True,0.9992550514107837,0.00037247534953255095,0.0003724732396839614,60.2
40.78,-111.94,1,5,10,property,property,0.999257162076811,True,0.00037146252836942723,0.999257162076811,0.00037137539481954806,53.3
40.78,-111.94,1,6,11,other,other,0.9992550514936364,True,0.9992550514936364,0.00037247536249066345,0.0003724731438728293,55.2
40.78,-111.94,2,3,13,property,property,0.9992408516380754,True,0.00038119240756899643,0.9992408516380754,0.0003779559543554449,58.6
40.78,-111.94,2,4,24,property,property,0.9992476896959829,True,0.0003866114021302547,0.9992476896959829,0.0003656989018868432,71.5
40.78,-111.94,2,5,17,other,other,0.9992550514623953,True,0.9992550514623953,0.00037247534955178936,0.00037247318805289824,64.2
40.78,-111.94,2,6,15,other,other,0.9992550508277462,True,0.9992550508277462,0.00037247580937659243,0.00037247336287729414,61.6
40.78,-111.94,3,3,7,other,other,0.9992550357168513,True,0.9992550357168513,0.0003724875960741405,0.00037247668707475224,46.2
40.78,-111.94,3,4,25,other,other,0.9992550523423324,True,0.9992550523423324,0.0003724756068793857,0.0003724720507882363,72.4
40.78,-111.94,3,5,21,other,other,0.9973695427395338,True,0.9973695427395338,0.0012545674298945276,0.0013758898305715201,68.6
40.78,-111.94,3,6,16,other,other,0.9992550513783931,True,0.9992550513783931,0.0003724753495204772,0.0003724732720864915,63.0
