lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
40.56,-74.21000000000001,0,7,other,0.42857142857142855,0.5982696097102536,other,0.871,True,0.871,0.1152,0.0137,1.4,NYC,high
40.56,-74.21000000000001,1,8,other,0.125,0.9743147528693494,other,0.8711,True,0.8711,0.1153,0.0136,1.4,NYC,high
40.56,-74.21000000000001,2,16,property,0.125,0.9743147528693494,other,0.7587,False,0.7587,0.2251,0.0162,1.6,NYC,medium
40.56,-74.21000000000001,3,8,other,0.625,0.7356219397587946,other,0.8583,True,0.8583,0.127,0.0147,1.5,NYC,high
40.56,-74.2,0,40,other,0.45,0.8864644756797975,other,0.8737,True,0.8737,0.113,0.0132,1.3,NYC,high
40.56,-74.2,1,47,property,0.19148936170212766,0.8203479977660642,other,0.8671,False,0.8671,0.1197,0.0132,1.3,NYC,high
40.56,-74.2,2,51,other,0.17647058823529413,0.9560443809671457,other,0.8766,True,0.8766,0.1105,0.0128,1.3,NYC,high
40.56,-74.2,3,53,other,0.2830188679245283,0.9647785777061502,other,0.8745,True,0.8745,0.1124,0.0131,1.3,NYC,high
40.56,-74.19,0,10,other,0.8,0.3250829947896311,other,0.8735,True,0.8735,0.1133,0.0132,1.3,NYC,high
40.56,-74.19,1,21,property,0.0,0.8515842539195699,other,0.8734,False,0.8734,0.1136,0.013,1.3,NYC,high
