lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_violent,p_property,p_other,risk
40.65,-89.67,3,8,16,other,other,0.927,True,0.0373,0.0357,0.927,0.0
40.65,-89.67,3,9,5,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,3,11,4,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.66,0,6,3,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.65,-89.66,0,9,7,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.66,0,11,4,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.66,1,4,4,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.65,-89.66,1,6,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.66,1,7,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.66,1,8,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.66,1,10,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.66,2,1,8,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.66,2,3,4,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.66,2,4,4,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.66,2,5,7,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.66,2,7,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.66,2,8,6,other,other,0.746,True,0.2541,0.0,0.7459,0.0
40.65,-89.66,2,9,6,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.65,-89.66,2,10,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.66,2,12,3,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.66,3,3,4,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.66,3,5,14,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.66,3,7,10,other,other,0.797,True,0.1924,0.0106,0.797,0.0
40.65,-89.66,3,8,12,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.65,-89.66,3,9,7,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.66,3,12,6,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,2,14,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,0,3,19,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,4,10,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,5,9,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,6,10,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,7,16,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,8,13,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,9,19,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,10,3,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,11,23,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,0,12,33,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,1,1,15,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,1,2,17,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,1,3,4,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,1,4,9,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,1,5,8,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,1,6,7,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,1,7,14,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,1,9,12,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.65,-89.65,1,10,6,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.65,1,11,9,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,1,12,6,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.65,2,1,11,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,2,2,12,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,2,3,31,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,2,4,9,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,2,5,14,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,2,6,8,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,2,7,29,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,2,8,21,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,2,9,23,other,other,0.993,True,0.0,0.007,0.993,0.0
40.65,-89.65,2,10,31,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.65,2,11,41,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,2,12,23,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,1,22,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,2,22,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,3,17,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,4,8,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,5,9,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,6,15,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,7,41,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,8,19,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,9,33,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,10,20,other,other,0.998,True,0.0,0.002,0.998,0.0
40.65,-89.65,3,11,25,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.65,3,12,14,other,other,1.0,True,0.0,0.0,1.0,0.0
40.66,-89.75,3,6,4,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.66,-89.73,0,1,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.68,1,6,4,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.68,1,8,6,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.66,-89.68,2,2,6,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.68,2,6,9,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.66,-89.68,2,7,7,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.68,2,8,4,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.66,-89.68,2,10,4,property,other,0.876,False,0.0,0.1242,0.8758,0.0
40.66,-89.68,2,11,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.68,2,12,5,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.68,3,1,3,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.66,-89.68,3,4,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.66,-89.68,3,7,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.66,-89.68,3,10,6,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.68,3,12,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.66,-89.67,1,3,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.67,2,3,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
