city,latitude,longitude,datetime,crime_category
Birmingham,33.66293159,-86.67952505,2023-11-18 18:25:00,violent
Birmingham,33.56228512,-86.72255126,2023-11-18 16:30:00,property
Birmingham,33.56857479,-86.78157615,2023-11-18 06:00:00,property
Birmingham,33.56406879,-86.72447315,2023-11-18 04:00:00,property
Birmingham,33.61992174,-86.70057871,2023-11-17 21:42:00,violent
Birmingham,33.66146932,-86.68470807,2023-11-17 16:45:00,violent
Birmingham,33.54128062,-86.751351,2023-11-17 15:00:00,property
Birmingham,33.53821668,-86.73669245,2023-11-17 08:00:00,property
Birmingham,33.55661435,-86.70939812,2023-11-17 01:00:00,property
Birmingham,33.55690202,-86.73102564,2023-11-17 00:00:00,property
Birmingham,33.58684419,-86.68381738,2023-11-16 22:20:00,property
Birmingham,33.60419088,-86.71308992,2023-11-16 22:00:00,violent
Birmingham,33.59989606,-86.69530005,2023-11-16 20:00:00,property
Birmingham,33.57368491,-86.72747468,2023-11-16 17:00:00,property
Birmingham,33.53855621,-86.73364773,2023-11-16 17:00:00,property
Birmingham,33.59462689,-86.71353252,2023-11-16 12:00:00,property
Birmingham,33.53877044,-86.75427494,2023-11-16 06:30:00,property
Birmingham,33.54153938,-86.74322327,2023-11-16 00:00:00,property
Birmingham,33.5655226,-86.73165712,2023-11-15 18:10:00,property
Birmingham,33.5655226,-86.73165712,2023-11-15 18:10:00,violent
Birmingham,33.58798122,-86.69214295,2023-11-15 16:20:00,property
Birmingham,33.55329692,-86.73372826,2023-11-15 12:00:00,property
Birmingham,33.59454572,-86.64745992,2023-11-15 12:00:00,property
Birmingham,33.54794223,-86.73569782,2023-11-15 10:49:00,property
Birmingham,33.46478032,-86.80385537,2023-11-15 04:00:00,property
Birmingham,33.56892301,-86.72101696,2023-11-14 20:00:00,property
Birmingham,33.58764648,-86.69982189,2023-11-14 18:00:00,property
Birmingham,33.6088691,-86.71819806,2023-11-14 17:30:00,violent
Birmingham,33.53646899,-86.76006017,2023-11-14 14:15:00,property
Birmingham,33.61618827,-86.69413483,2023-11-14 12:30:00,property
Birmingham,33.56164677,-86.77424941,2023-11-14 12:08:00,violent
Birmingham,33.54310709,-86.74830956,2023-11-14 08:15:00,property
Birmingham,33.54310709,-86.74830956,2023-11-14 08:15:00,property
Birmingham,33.54310709,-86.74830956,2023-11-14 08:00:00,property
Birmingham,33.60816031,-86.6871417,2023-11-14 05:00:00,property
Birmingham,33.60816031,-86.6871417,2023-11-14 05:00:00,property
Birmingham,33.59475203,-86.73498974,2023-11-14 01:00:00,property
