city,datetime,hour,month,weekday,crime_category,latitude,longitude
Cambridge,2023-04-23 03:00:00,3,4,6,other,52.225275,0.152368
Cambridge,2023-04-07 16:00:00,16,4,4,other,52.188031,0.128535
Cambridge,2023-04-13 05:00:00,5,4,3,other,52.189686,0.186054
Cambridge,2023-04-15 10:00:00,10,4,5,other,52.182958,0.184715
Cambridge,2023-04-11 11:00:00,11,4,1,other,52.209787,0.145932
Cambridge,2023-04-04 14:00:00,14,4,1,other,52.182558,0.154619
Cambridge,2023-04-13 11:00:00,11,4,3,other,52.207929,0.164687
Cambridge,2023-04-07 10:00:00,10,4,4,other,52.220584,0.136387
Cambridge,2023-04-27 16:00:00,16,4,3,other,52.174318,0.123113
Cambridge,2023-04-19 07:00:00,7,4,2,other,52.189686,0.186054
Cambridge,2023-04-22 11:00:00,11,4,5,other,52.204215,0.121172
Cambridge,2023-04-28 08:00:00,8,4,4,other,52.200443,0.134338
Cambridge,2023-04-02 10:00:00,10,4,6,other,52.173731,0.139172
Cambridge,2023-04-10 02:00:00,2,4,0,property,52.2055,0.118203
Cambridge,2023-04-13 06:00:00,6,4,3,property,52.189096,0.135331
Cambridge,2023-04-25 20:00:00,20,4,1,property,52.204749,0.105474
Cambridge,2023-04-21 02:00:00,2,4,4,property,52.204478,0.143444
Cambridge,2023-04-06 20:00:00,20,4,3,property,52.214697,0.102685
Cambridge,2023-04-28 15:00:00,15,4,4,property,52.215942,0.127088
Cambridge,2023-04-28 09:00:00,9,4,4,property,52.210261,0.093283
Cambridge,2023-04-12 22:00:00,22,4,2,property,52.199716,0.102241
Cambridge,2023-04-12 06:00:00,6,4,2,property,52.205387,0.134429
Cambridge,2023-04-20 23:00:00,23,4,3,property,52.165645,0.120346
Cambridge,2023-04-11 19:00:00,19,4,1,property,52.167885,0.109777
Cambridge,2023-04-26 14:00:00,14,4,2,property,52.185267,0.137383
Cambridge,2023-04-23 20:00:00,20,4,6,property,52.215762,0.13254
Cambridge,2023-04-28 20:00:00,20,4,4,property,52.193225,0.136216
Cambridge,2023-04-25 09:00:00,9,4,1,property,52.234435,0.121236
Cambridge,2023-04-07 11:00:00,11,4,4,property,52.212594,0.117253
Cambridge,2023-04-01 17:00:00,17,4,5,property,52.2055,0.118203
Cambridge,2023-04-01 22:00:00,22,4,5,property,52.195793,0.137905
Cambridge,2023-04-25 22:00:00,22,4,1,property,52.192391,0.150925
Cambridge,2023-04-27 08:00:00,8,4,3,property,52.230987,0.129477
Cambridge,2023-04-25 08:00:00,8,4,1,property,52.217889,0.140694
Cambridge,2023-04-20 03:00:00,3,4,3,property,52.214697,0.102685
Cambridge,2023-04-13 04:00:00,4,4,3,property,52.20446,0.118051
Cambridge,2023-04-09 06:00:00,6,4,6,property,52.189719,0.154468
Cambridge,2023-04-03 06:00:00,6,4,0,property,52.219358,0.145479
Cambridge,2023-04-07 10:00:00,10,4,4,property,52.213552,0.13643
Cambridge,2023-04-06 09:00:00,9,4,3,property,52.209678,0.13784
Cambridge,2023-04-08 10:00:00,10,4,5,property,52.212837,0.112712
Cambridge,2023-04-27 23:00:00,23,4,3,property,52.200978,0.105608
Cambridge,2023-04-09 23:00:00,23,4,6,property,52.195795,0.12737
Cambridge,2023-04-05 17:00:00,17,4,2,property,52.193771,0.13535
Cambridge,2023-04-01 11:00:00,11,4,5,property,52.212589,0.104942
Cambridge,2023-04-19 15:00:00,15,4,2,property,52.193225,0.136216
Cambridge,2023-04-10 03:00:00,3,4,0,property,52.199829,0.138962
Cambridge,2023-04-12 16:00:00,16,4,2,property,52.214399,0.129825
Cambridge,2023-04-24 16:00:00,16,4,0,property,52.209678,0.13784
Cambridge,2023-04-15 20:00:00,20,4,5,property,52.227638,0.14806
Cambridge,2023-04-27 22:00:00,22,4,3,property,52.218538,0.136187
Cambridge,2023-04-22 04:00:00,4,4,5,property,52.204051,0.129272
Cambridge,2023-04-24 12:00:00,12,4,0,property,52.2071,0.119758
Cambridge,2023-04-09 02:00:00,2,4,6,property,52.190164,0.136961
Cambridge,2023-04-20 22:00:00,22,4,3,property,52.210537,0.112119
Cambridge,2023-04-17 16:00:00,16,4,0,property,52.200225,0.134986
Cambridge,2023-04-17 10:00:00,10,4,0,property,52.19896,0.098239
Cambridge,2023-04-26 00:00:00,0,4,2,property,52.202415,0.12173
Cambridge,2023-04-20 17:00:00,17,4,3,property,52.214399,0.129825
Cambridge,2023-04-12 16:00:00,16,4,2,property,52.215551,0.140699
Cambridge,2023-04-07 08:00:00,8,4,4,property,52.2071,0.119758
Cambridge,2023-04-02 19:00:00,19,4,6,property,52.212589,0.104942
Cambridge,2023-04-03 06:00:00,6,4,0,property,52.195085,0.127848
Cambridge,2023-04-17 04:00:00,4,4,0,property,52.213211,0.147773
Cambridge,2023-04-05 15:00:00,15,4,2,property,52.201826,0.10378
Cambridge,2023-04-17 06:00:00,6,4,0,property,52.19676,0.129172
Cambridge,2023-04-24 12:00:00,12,4,0,property,52.205917,0.145402
Cambridge,2023-04-17 12:00:00,12,4,0,property,52.218027,0.142545
Cambridge,2023-04-27 14:00:00,14,4,3,property,52.21468,0.118713
Cambridge,2023-04-17 22:00:00,22,4,0,property,52.191362,0.178601
Cambridge,2023-04-02 16:00:00,16,4,6,property,52.188031,0.128535
Cambridge,2023-04-02 16:00:00,16,4,6,property,52.208907,0.118234
Cambridge,2023-04-28 18:00:00,18,4,4,property,52.193225,0.136216
Cambridge,2023-04-22 09:00:00,9,4,5,property,52.210486,0.113434
Cambridge,2023-04-23 01:00:00,1,4,6,property,52.205544,0.126738
Cambridge,2023-04-05 13:00:00,13,4,2,property,52.200939,0.125816
Cambridge,2023-04-01 22:00:00,22,4,5,property,52.235542,0.148017
Cambridge,2023-04-01 02:00:00,2,4,5,property,52.2055,0.118203
Cambridge,2023-04-19 06:00:00,6,4,2,property,52.199716,0.102241
Cambridge,2023-04-02 10:00:00,10,4,6,property,52.187749,0.160883
Cambridge,2023-04-21 16:00:00,16,4,4,property,52.195793,0.137905
Cambridge,2023-04-12 14:00:00,14,4,2,property,52.202367,0.152168
Cambridge,2023-04-26 18:00:00,18,4,2,property,52.198458,0.156998
Cambridge,2023-04-06 10:00:00,10,4,3,property,52.209586,0.102926
Cambridge,2023-04-23 14:00:00,14,4,6,property,52.211148,0.110128
Cambridge,2023-04-04 14:00:00,14,4,1,property,52.215574,0.137201
Cambridge,2023-04-23 05:00:00,5,4,6,property,52.209422,0.119092
Cambridge,2023-04-11 14:00:00,14,4,1,property,52.2055,0.118203
Cambridge,2023-04-24 08:00:00,8,4,0,property,52.201421,0.125173
Cambridge,2023-04-27 04:00:00,4,4,3,property,52.209938,0.120434
Cambridge,2023-04-17 18:00:00,18,4,0,property,52.2078,0.133798
Cambridge,2023-04-06 23:00:00,23,4,3,property,52.210311,0.118198
Cambridge,2023-04-24 04:00:00,4,4,0,property,52.212589,0.104942
Cambridge,2023-04-05 21:00:00,21,4,2,property,52.204215,0.121172
Cambridge,2023-04-20 12:00:00,12,4,3,property,52.199242,0.135642
Cambridge,2023-04-02 17:00:00,17,4,6,property,52.195793,0.137905
Cambridge,2023-04-06 19:00:00,19,4,3,property,52.218903,0.133876
Cambridge,2023-04-22 16:00:00,16,4,5,property,52.203011,0.125622
Cambridge,2023-04-11 14:00:00,14,4,1,property,52.223048,0.133899
Cambridge,2023-04-16 13:00:00,13,4,6,property,52.217347,0.131913
